Country	Region	Country Code	Currency Code	Currency Name	Area/City Code	When to Apply the Area/CityCode
Albania	Central & Eastern Europe	ALB	ALL	Albania Lek	AL001	Tirana
Albania	Central & Eastern Europe	ALB	ALL	Albania Lek	AL999	Rest of the Country
Algeria	Africa	DZA	DZD	Algeria Dinar	DZ000	No region codes
Andorra	Western Europe	AND	EUR	Euro	AN000	No region codes
Angola	Africa	AGO	AOA	Angola Kwanza	AO000	No region codes
Anguilla	Latin America	AIA	USD	United States Dollar	AI000	No region codes
Argentina	Latin America	ARG	ARS	Argentina Peso	AR001	Buenos Aires (Province + Autonomous City)
Argentina	Latin America	ARG	ARS	Argentina Peso	AR002	Córdoba
Argentina	Latin America	ARG	ARS	Argentina Peso	AR003	Santa Fé
Argentina	Latin America	ARG	ARS	Argentina Peso	AR004	Argentine Northwest
Argentina	Latin America	ARG	ARS	Argentina Peso	AR005	Argentine Northeast
Argentina	Latin America	ARG	ARS	Argentina Peso	AR006	Patagonia
Argentina	Latin America	ARG	ARS	Argentina Peso	AR007	Tierra del Fuego
Argentina	Latin America	ARG	ARS	Argentina Peso	AR008	Cuyana Region
Argentina	Latin America	ARG	ARS	Argentina Peso	AR999	Rest of the Country
Armenia	Central & Eastern Europe	ARM	AMD	Armenia Dram	AM000	No region codes
Aruba	Latin America	ABW	USD	United States Dollar	AW000	No region codes
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU001	Greater Melbourne
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU002	Greater Perth
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU003	Greater Sydney
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU004	Greater Brisbane
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU005	Canberra / ACT
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU006	Greater Adelaide
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU007	Greater Darwin
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU008	Greater Hobart
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU101	Rest of Victoria
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU102	Rest of Western Australia
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU103	Rest of New South Wales
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU104	Rest of Queensland
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU106	Rest of South Australia
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU107	Rest of Northern Terrority
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU108	Rest of Tasmania
Australia	Asia Pacific	AUS	AUD	Australia Dollar	AU109	Other Territories
Austria	Western Europe	AUT	EUR	Euro	AT001	Vienna 
Austria	Western Europe	AUT	EUR	Euro	AT002	Lower Austria
Austria	Western Europe	AUT	EUR	Euro	AT003	Upper Austria, Salzburg
Austria	Western Europe	AUT	EUR	Euro	AT004	Tyrol, Vorarlberg
Austria	Western Europe	AUT	EUR	Euro	AT005	Burgenland, Styria, Carinthia
Austria	Western Europe	AUT	EUR	Euro	AT999	Rest of the Country
Azerbaijan	Central & Eastern Europe	AZE	AZN	Azerbaijan New Manat	AZ001	Baku and area
Azerbaijan	Central & Eastern Europe	AZE	AZN	Azerbaijan New Manat	AZ999	Rest of the Country
Bahamas	Latin America	BHS	USD	United States Dollar	BS000	No region codes
Bahrain	Middle East	BHR	BHD	Bahrain Dinar	BH000	No region codes
Bangladesh	Asia Pacific	BGD	BDT	Bangladesh Taka	BD001	Dhaka
Bangladesh	Asia Pacific	BGD	BDT	Bangladesh Taka	BD999	Rest of the Country
Barbados	Latin America	BRB	USD	United States Dollar	BB000	No region codes
Belarus	Central & Eastern Europe	BLR	BYN	Belarus Ruble	BY001	Minsk and area
Belarus	Central & Eastern Europe	BLR	BYN	Belarus Ruble	BY999	Rest of the Country
Belgium	Western Europe	BEL	EUR	Euro	BE001	Brussels and area
Belgium	Western Europe	BEL	EUR	Euro	BE002	Antwerp and area
Belgium	Western Europe	BEL	EUR	Euro	BE003	Rest of Flanders (Aalst, Gent, Hasselt, Brugge, Kortrijk, etc.)
Belgium	Western Europe	BEL	EUR	Euro	BE004	Wallonia (Mons, Liège, Namur, Arlon, Tournai, etc.)
