Instructions					
Changes	Element Name	Definition	Guidelines	Country/Industry	Sample Data
Contact Data					
Contact Data					
	Cash Compensation Contact Name	Cash Compensation Contact Name			Mr. Mike Smith
	Cash Compensation Contact Title	Cash Compensation Contact Title			Cash Contact
	Cash Compensation Contact Phone	Cash Compensation Contact Phone			+1 (212) 555-1111
	Cash Compensation Contact E-mail	Cash Compensation Contact E-mail			mike.smith@example.com
	Long-Term Incentive Plans Contact Name	Long-Term Incentive Plans Contact Name			Mr. Joe Brady
	Long-Term Incentive Plans Contact Title	Long-Term Incentive Plans Contact Title			Long Term Contact
	Long-Term Incentive Plans Contact Phone	Long-Term Incentive Plans Contact Phone			+1 (212) 555-1111
	Long-Term Incentive Plans Contact E-mail	Long-Term Incentive Plans Contact E-mail			joe.brady@example.com
Organization Data					
Participating Entity					
	Participating Entity Name	The name of your organization.			Your Company Name
	Participating Entity Country	The country where the participating entity is based/headquartered.	Refer to the Country Codes tab.		GBR [United Kingdom]
Revised	Participating Entity Currency of Organization Elements	The currency code for all Participating Entity elements (e.g., Annual Revenue).	Refer to the Country Codes tab.		GBP [United Kingdom Pound]
	Participating Entity Annual Revenue	The participating entity's total annual gross revenue for the most recent fiscal year.	"For the headquarter country, enter global revenue.

For banks this is usually net interest income plus (where relevant/quantifiable) other revenue such as investment and fee income.

For insurance companies, this is usually gross premium income (a.k.a. ""gross written premiums"") plus (where relevant/quantifiable) other revenue such as investment and fee income. Do not deduct premiums ceded to reinsurers for de-risking purposes.

Note: enter all financial data in whole numbers."		7,60,00,000
	Participating Entity Annual Revenue Range (USD)	The annual revenue range that best matches the country's USD annual revenue.	"A Less than 5M USD
B 5M to 10M USD
C 10M to 25M USD
D 25M to 75M USD
E 75M to 150M USD
F 150M to 300M USD
G 300M to 500M USD
H 500M to 1BN USD
I 1BN to 2BN USD
J 2BN to 5BN USD
K 5BN to 10BN USD
L 10BN to 50BN USD
M 50BN to 100BN USD
N Greater than 100BN USD
 
For the headquarter country, this is the range corresponding to global revenue."		B [5M to 10M USD]
